2021/05/10 04:15:50 [5729:8fdb4700] target=/home/jboss/v3engine/v3daemon/./asc/74/isdcalt.scd, targetSize=0, ClientIP=LOCAL, scanTime=2021/05/10 04:15:50, scanResult=SCAN_CURE_DELETE_SUCCESS
2021/05/10 04:15:50 [5729:8feb5700] target=/home/jboss/v3engine/v3daemon/./asc/74/0spe5wu.scd, targetSize=0, ClientIP=LOCAL, scanTime=2021/05/10 04:15:50, scanResult=NORMAL_FILE
2021/05/10 04:15:50 [5729:8fdb4700] target=/home/jboss/v3engine/v3daemon/./asc/74/isti.scd, targetSize=0, ClientIP=LOCAL, scanTime=2021/05/10 04:15:50, scanResult=SCAN_FAILED
2021/05/10 04:15:50 [5729:8feb5700] target=/home/jboss/v3engine/v3daemon/./asc/74/0sdcr.scd, targetSize=0, ClientIP=LOCAL, scanTime=2021/05/10 04:15:50, scanResult=SCAN_FAILED
2021/05/10 04:15:50 [5729:8fdb4700] target=/home/jboss/v3engine/v3daemon/./asc/74/0sdca0.scd, targetSize=0, ClientIP=LOCAL, scanTime=2021/05/10 04:15:50, scanResult=INFECTED
2021/05/10 04:15:50 [5729:8feb5700] target=/home/jboss/v3engine/v3daemon/./asc/74/0sdcd1.scd, targetSize=0, ClientIP=LOCAL, scanTime=2021/05/10 04:15:50, scanResult=INFECTED
2021/05/10 04:15:50 [5729:8fdb4700] target=/home/jboss/v3engine/v3daemon/./asc/74/0sdcf2.scd, targetSize=0, ClientIP=LOCAL, scanTime=2021/05/10 04:15:50, scanResult=SCAN_FAILED
2021/05/10 04:15:50 [5729:8feb5700] target=/home/jboss/v3engine/v3daemon/./asc/74/0sdch0.scd, targetSize=0, ClientIP=LOCAL, scanTime=2021/05/10 04:15:50, scanResult=SCAN_CURE_DELETE_FAIL_BY_CONFIGURE
2021/05/10 04:15:50 [5729:8feb5700] target=/home/jboss/v3engine/v3daemon/./asc/1/32spesa.scd, targetSize=0, ClientIP=LOCAL, scanTime=2021/05/10 04:15:50, scanResult=SCAN_CURE_DELETE_FAIL_BY_CONFIGURE
2021/05/10 04:15:50 [5729:8feb5700] target=/home/jboss/v3engine/v3daemon/./asc/1/37spesa.scd, targetSize=0, ClientIP=LOCAL, scanTime=2021/05/10 04:15:50, scanResult=INFECTED
2021/05/10 04:15:50 [5729:8feb5700] target=/home/jboss/v3engine/v3daemon/./asc/1/42spesa.scd, targetSize=0, ClientIP=LOCAL, scanTime=2021/05/10 04:15:50, scanResult=NORMAL_FILE
2021/05/10 04:15:50 [5729:8fdb4700] target=/home/jboss/v3engine/v3daemon/./asc/1/iswpe2a.scd, targetSize=0, ClientIP=LOCAL, scanTime=2021/05/10 04:15:50, scanResult=INFECTED
2021/05/10 04:15:50 [5729:8fdb4700] target=/home/jboss/v3engine/v3daemon/./asc/18/1speea.scd, targetSize=0, ClientIP=LOCAL, scanTime=2021/05/10 04:15:50, scanResult=NORMAL_FILE
2021/05/10 04:15:50 [5729:8fdb4700] target=/home/jboss/v3engine/v3daemon/./asc/18/0spe2a.scd, targetSize=0, ClientIP=LOCAL, scanTime=2021/05/10 04:15:50, scanResult=NORMAL_FILE
2021/05/10 04:15:50 [5729:8feb5700] target=/home/jboss/v3engine/v3daemon/./asc/1/0swpesa.scd, targetSize=0, ClientIP=LOCAL, scanTime=2021/05/10 04:15:50, scanResult=NORMAL_FILE
2021/05/10 04:15:50 [5729:8fdb4700] target=/home/jboss/v3engine/v3daemon/./asc/18/0spepa.scd, targetSize=0, ClientIP=LOCAL, scanTime=2021/05/10 04:15:50, scanResult=INFECTED
2021/05/10 04:15:50 [5729:8fdb4700] target=/home/jboss/v3engine/v3daemon/./asc/18/2spedcnde.scd, targetSize=0, ClientIP=LOCAL, scanTime=2021/05/10 04:15:50, scanResult=NORMAL_FILE
2021/05/10 04:15:50 [5729:8fdb4700] target=/home/jboss/v3engine/v3daemon/./asc/readmej.txt, targetSize=0, ClientIP=LOCAL, scanTime=2021/05/10 04:15:50, scanResult=INFECTED
2021/05/10 04:15:50 [5729:8fdb4700] target=/home/jboss/v3engine/v3daemon/./asc/readmetc.txt, targetSize=0, ClientIP=LOCAL, scanTime=2021/05/10 04:15:50, scanResult=NORMAL_FILE
2021/05/10 04:15:50 [5729:8fdb4700] target=/home/jboss/v3engine/v3daemon/./asc/60/0spedtre.scd, targetSize=0, ClientIP=LOCAL, scanTime=2021/05/10 04:15:50, scanResult=NORMAL_FILE
2021/05/10 04:15:50 [5729:8feb5700] target=/home/jboss/v3engine/v3daemon/./asc/18/3sdcalt.scd, targetSize=0, ClientIP=LOCAL, scanTime=2021/05/10 04:15:50, scanResult=NORMAL_FILE
2021/05/10 04:15:50 [5729:8fdb4700] target=/home/jboss/v3engine/v3daemon/./asc/63/0spehexp.scd, targetSize=0, ClientIP=LOCAL, scanTime=2021/05/10 04:15:50, scanResult=NORMAL_FILE
